isqno,War,Battle Name,Location,Campaign,Attacker Win,Dry/Wet,High/Low Precipitaton/Sunny/Cloudy,"Temperature (Hot, Cold, Temperate)",Season,Tropical/Desert/Temperate,Attacker 1,Attacker 2,Attacker 3,Attacker 4,Actor 1,Actor 2,Actor 3,Actor 4
96.0,WAR OF THE FIRST COALITION,VALMY,FRANCE,FRANCE 1792,-1.0,D,,T,S,T,0.0,1.0,,,France,Prussia,,
97.0,WAR OF THE FIRST COALITION,JEMAPPES,AUSTRIAN NETHERLANDS,FLANDERS 1792,1.0,D,S,T,F,T,0.0,1.0,,,Austria,France,,
98.0,WAR OF THE FIRST COALITION,NEERWINDEN,AUSTRIAN NETHERLANDS,FLANDERS 1793,-1.0,D,S,T,$,T,0.0,1.0,,,Austria,France,,
99.0,WAR OF THE FIRST COALITION,HONDSCHOOTE,FRANCE,FLANDERS 1793,1.0,D,S,T,S,T,1.0,0.0,,,France,Great Britain,,
100.0,WAR OF THE FIRST COALITION,WATTIGNIES,AUSTRIAN NETHERLANDS,FLANDERS 1793,1.0,D,S,T,F,T,0.0,1.0,,,Austria,France,,
101.0,WAR OF THE FIRST COALITION,FLEURUS,AUSTRIAN NETHERLANDS,FLANDERS 1794,-1.0,D,S,T,S,T,1.0,0.0,,,Austria,France,,
102.0,WAR OF THE FIRST COALITION,LODI,NORTH ITALY,ITALY 1796,1.0,D,S,T,S,T,0.0,1.0,,,Austria,France,,
103.0,WAR OF THE FIRST COALITION,CASTIGLIONE,NORTH ITALY,ITALY 1796,1.0,D,S,T,S,T,0.0,1.0,,,Austria,France,,
104.0,WAR OF THE FIRST COALITION,NERESHEIM,GERMANY,GERMANY 1796,1.0,W,H,T,S,T,1.0,0.0,,,Austria,France,,
105.0,WAR OF THE FIRST COALITION,WUERZBURG,GERMANY,GERMANY 1796,1.0,D,S,T,S,T,1.0,0.0,,,Austria,France,,
106.0,WAR OF THE FIRST COALITION,ARCOLA,NORTH ITALY,ITALY 1796,1.0,D,S,T,F,T,0.0,1.0,,,Austria,France,,
107.0,WAR OF THE FIRST COALITION,RIVOLI,NORTH ITALY,ITALY 1797,-1.0,D,,T,W,T,1.0,0.0,,,Austria,France,,
108.0,WAR OF THE FIRST COALITION,PYRAMIDS,EGYPT,EGYPT,1.0,D,S,H,S,T,1.0,0.0,,,France,Ottoman Empire,,
109.0,WAR OF THE SECOND COALITION,STOCKACH I,GERMANY,GERMANY 1799,-1.0,D,S,T,$,T,0.0,1.0,,,Austria,France,,
110.0,WAR OF THE FIRST COALITION,MOUNT TABOR,PALESTINE,EGYPT (PALESTINE),-1.0,D,S,H,$,T,0.0,1.0,,,France,Ottoman Empire,,
111.0,WAR OF THE SECOND COALITION,ZURICH I,SWITZERLAND,SWITZERLAND 1799,-1.0,D,S,T,S,T,1.0,0.0,,,Austria,France,,
112.0,WAR OF THE SECOND COALITION,NOVI,NORTH ITALY,ITALY 1799,1.0,D,S,T,S,T,0.0,1.0,,,France,Russia,,
113.0,WAR OF THE SECOND COALITION,ZURICH III,SWITZERLAND,SWITZERLAND 1799,1.0,D,,T,F,T,1.0,0.0,,,France,Russia,,
114.0,WAR OF THE SECOND COALITION,MOESKIRCH,GERMANY,GERMANY 1800,1.0,D,S,T,$,T,0.0,1.0,,,Austria,France,,
115.0,WAR OF THE SECOND COALITION,MARENGO,NORTH ITALY,ITALY 1800,-1.0,D,S,T,S,T,1.0,0.0,,,Austria,France,,
116.0,WAR OF THE SECOND COALITION,HOHENLINDEN,GERMANY,GERMANY 1800,-1.0,W,H,T,W,T,1.0,0.0,,,Austria,France,,
117.0,THE NAPOLEONIC WARS,AUSTERLITZ,MORAVIA,THIRD COALITION,-1.0,D,S,T,W,T,0.0,1.0,,,France,Russia,,
118.0,THE NAPOLEONIC WARS,JENA,PRUSSIA,JENA,1.0,D,S,T,F,T,1.0,0.0,,,France,Prussia,,
119.0,THE NAPOLEONIC WARS,AUERSTADT,PRUSSIA,JENA,-1.0,D,S,T,F,T,0.0,1.0,,,France,Prussia,,
120.0,THE NAPOLEONIC WARS,EYLAU,PRUSSIA,POLAND 1807,0.0,W,H,C,W,T,1.0,0.0,,,France,Russia,,
